2026-08-29 14:37:32,177 | 04_permutation_test | INFO | Real AUC=0.8272 vs. null. Empirical p-value = 0.0323 (fraction of permutations >= real)
2026-08-29 14:37:32,344 | 04_permutation_test | INFO | Wrote results/permutation_null_distribution.csv and figures/permutation_null_distribution.png
2026-08-29 14:40:41,011 | 06_pathway_crosscheck | INFO | top_n=20 pathway=FM1_ECM_RhoGDI_collagen_GP6: overlap=0/20 (pathway genes in background=35/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,011 | 06_pathway_crosscheck | INFO | top_n=20 pathway=FM2_CLEAR_lysosomal: overlap=0/20 (pathway genes in background=23/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,011 | 06_pathway_crosscheck | INFO | top_n=20 pathway=FM3_FM4_interferon_JAKSTAT: overlap=0/20 (pathway genes in background=19/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=30 pathway=FM1_ECM_RhoGDI_collagen_GP6: overlap=0/30 (pathway genes in background=35/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=30 pathway=FM2_CLEAR_lysosomal: overlap=0/30 (pathway genes in background=23/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=30 pathway=FM3_FM4_interferon_JAKSTAT: overlap=0/30 (pathway genes in background=19/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=50 pathway=FM1_ECM_RhoGDI_collagen_GP6: overlap=0/50 (pathway genes in background=35/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=50 pathway=FM2_CLEAR_lysosomal: overlap=0/50 (pathway genes in background=23/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,012 | 06_pathway_crosscheck | INFO | top_n=50 pathway=FM3_FM4_interferon_JAKSTAT: overlap=0/50 (pathway genes in background=19/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,013 | 06_pathway_crosscheck | INFO | top_n=100 pathway=FM1_ECM_RhoGDI_collagen_GP6: overlap=0/50 (pathway genes in background=35/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,013 | 06_pathway_crosscheck | INFO | top_n=100 pathway=FM2_CLEAR_lysosomal: overlap=0/50 (pathway genes in background=23/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,013 | 06_pathway_crosscheck | INFO | top_n=100 pathway=FM3_FM4_interferon_JAKSTAT: overlap=0/50 (pathway genes in background=19/21374 total), p=1.0000, genes=[]
2026-08-29 14:40:41,019 | 06_pathway_crosscheck | INFO | Wrote results/top_features_vs_original_pathways.csv
2026-08-29 14:40:41,020 | 06_pathway_crosscheck | INFO | No top-N/pathway combination reaches nominal significance (p<0.05, uncorrected). This is reported honestly as a weak/absent overlap, not hidden.
2026-08-29 14:55:51,562 | 07_feature_stability | INFO | Repeat 1/10 done (27.9s)
2026-08-29 14:56:16,807 | 07_feature_stability | INFO | Repeat 2/10 done (25.2s)
2026-08-29 14:56:42,322 | 07_feature_stability | INFO | Repeat 3/10 done (25.5s)
2026-08-29 14:57:06,714 | 07_feature_stability | INFO | Repeat 4/10 done (24.4s)
2026-08-29 14:57:31,071 | 07_feature_stability | INFO | Repeat 5/10 done (24.4s)
2026-08-29 14:57:57,670 | 07_feature_stability | INFO | Repeat 6/10 done (26.6s)
2026-08-29 14:58:23,635 | 07_feature_stability | INFO | Repeat 7/10 done (26.0s)
2026-08-29 14:58:49,565 | 07_feature_stability | INFO | Repeat 8/10 done (25.9s)
2026-08-29 14:59:14,985 | 07_feature_stability | INFO | Repeat 9/10 done (25.4s)
2026-08-29 14:59:39,983 | 07_feature_stability | INFO | Repeat 10/10 done (25.0s)
2026-08-29 14:59:40,069 | 07_feature_stability | INFO | Mean selection frequency of the SHAP top-30 genes = 0.851 (vs. 0.172 mean over all genes ever selected); 30/30 of the SHAP top genes were selected in >=50% of the 50 stability folds.
2026-08-29 14:59:40,071 | 07_feature_stability | INFO | Stability summary: {'n_repeats': 10, 'n_outer_folds_per_repeat': 5, 'n_total_folds': 50, 'n_unique_genes_ever_selected': 839, 'mean_pairwise_jaccard': 0.29502260291722104, 'median_pairwise_jaccard': 0.2987012987012987, 'std_pairwise_jaccard': 0.07519976587121996, 'shap_top30_crosscheck': 'Mean selection frequency of the SHAP top-30 genes = 0.851 (vs. 0.172 mean over all genes ever selected); 30/30 of the SHAP top genes were selected in >=50% of the 50 stability folds.'}
2026-08-29 14:59:40,297 | 07_feature_stability | INFO | Wrote results/feature_selection_stability.csv, results/feature_stability_summary.csv, figures/feature_stability.png
2026-08-29 15:00:06,627 | 04_permutation_test | INFO | Computing real (non-permuted) nested-CV AUC with the reduced permutation-test grid (this differs slightly from the full-grid AUC in performance_summary.csv; used only as the reference point for the null comparison).
2026-08-29 15:00:16,791 | 04_permutation_test | INFO | Reduced-grid real AUC = 0.8272
2026-08-29 15:00:23,596 | 04_permutation_test | INFO | Permutation 1/100: AUC=0.4901 (6.8s)
2026-08-29 15:00:30,593 | 04_permutation_test | INFO | Permutation 2/100: AUC=0.4908 (7.0s)
2026-08-29 15:00:37,448 | 04_permutation_test | INFO | Permutation 3/100: AUC=0.3976 (6.9s)
2026-08-29 15:00:44,495 | 04_permutation_test | INFO | Permutation 4/100: AUC=0.3805 (7.0s)
2026-08-29 15:00:51,495 | 04_permutation_test | INFO | Permutation 5/100: AUC=0.5608 (7.0s)
2026-08-29 15:00:58,508 | 04_permutation_test | INFO | Permutation 6/100: AUC=0.4887 (7.0s)
2026-08-29 15:01:05,370 | 04_permutation_test | INFO | Permutation 7/100: AUC=0.4861 (6.9s)
2026-08-29 15:01:11,857 | 04_permutation_test | INFO | Permutation 8/100: AUC=0.5529 (6.5s)
2026-08-29 15:01:18,639 | 04_permutation_test | INFO | Permutation 9/100: AUC=0.5379 (6.8s)
2026-08-29 15:01:25,528 | 04_permutation_test | INFO | Permutation 10/100: AUC=0.5498 (6.9s)
2026-08-29 15:01:32,595 | 04_permutation_test | INFO | Permutation 11/100: AUC=0.4592 (7.1s)
2026-08-29 15:01:39,152 | 04_permutation_test | INFO | Permutation 12/100: AUC=0.4285 (6.6s)
